Time,1,2,3,4
44.513583,-5852.342350,-35873.488888,-28230.598954,-200000.000000
44.517618,-5851.007205,-35874.585614,-28230.122117,-200000.000000
44.521652,-5852.008564,-35879.544721,-28233.793763,-200000.000000
44.525686,-5851.531726,-35880.069242,-28234.222917,-200000.000000
44.529720,-5850.768787,-35878.352628,-28231.934098,-200000.000000
44.533755,-5852.103931,-35877.446637,-28231.981782,-200000.000000
44.537789,-5852.866871,-35877.780423,-28234.270601,-200000.000000
44.541823,-5852.437717,-35877.780423,-28234.699754,-200000.000000
44.545857,-5856.300098,-35877.923474,-28235.701112,-200000.000000
44.549891,-5858.970387,-35878.114209,-28237.894563,-200000.000000
44.553926,-5858.445866,-35879.401669,-28238.705187,-200000.000000
44.557960,-5857.778294,-35879.449353,-28240.040331,-200000.000000
44.561994,-5857.492191,-35878.400311,-28240.374117,-200000.000000
44.566028,-5855.060322,-35877.637372,-28241.089373,-200000.000000
44.570063,-5855.203373,-35876.111493,-28241.232424,-200000.000000
44.574097,-5855.727894,-35874.156460,-28240.040331,-200000.000000
44.578131,-5855.012638,-35875.396237,-28238.895922,-200000.000000
44.582165,-5855.489475,-35875.730023,-28239.182024,-200000.000000
44.586199,-5855.966312,-35876.159176,-28239.420443,-200000.000000
44.590234,-5855.441791,-35879.353986,-28241.947680,-200000.000000
44.594268,-5856.776936,-35883.931623,-28246.668368,-200000.000000
44.598302,-5859.161122,-35883.502469,-28249.004871,-200000.000000
44.602336,-5858.684285,-35881.547437,-28248.671084,-200000.000000
44.606371,-5857.158405,-35879.735455,-28250.006229,-200000.000000
44.610405,-5855.394108,-35879.401669,-28250.292331,-200000.000000
44.614439,-5855.298740,-35878.543362,-28250.053912,-200000.000000
44.618473,-5854.345066,-35876.445279,-28248.098880,-200000.000000
44.622507,-5855.346424,-35875.491604,-28249.052554,-200000.000000
44.626542,-5857.015354,-35877.685055,-28250.816852,-200000.000000
44.630576,-5859.971745,-35876.922116,-28252.104312,-200000.000000
44.634610,-5861.354573,-35876.731381,-28253.963978,-200000.000000
44.638644,-5863.691075,-35879.497037,-28257.778675,-200000.000000
44.642679,-5864.883168,-35882.834897,-28261.402638,-200000.000000
44.646713,-5864.835485,-35882.405744,-28263.882192,-200000.000000
44.650747,-5861.211522,-35881.785856,-28264.120610,-200000.000000
44.654781,-5858.970387,-35879.449353,-28262.451680,-200000.000000
44.658815,-5856.824619,-35876.922116,-28262.022527,-200000.000000
44.662850,-5855.727894,-35872.821316,-28261.068852,-200000.000000
44.666884,-5856.824619,-35873.727307,-28259.924443,-200000.000000
44.670918,-5861.783726,-35875.539288,-28260.162861,-200000.000000
44.674952,-5863.548024,-35876.445279,-28262.451680,-200000.000000
44.678987,-5864.549382,-35876.874432,-28263.309987,-200000.000000
44.683021,-5865.693792,-35878.877148,-28264.168294,-200000.000000
44.687055,-5864.406331,-35877.971158,-28262.690099,-200000.000000
44.691089,-5859.971745,-35873.822674,-28259.113819,-200000.000000
44.695123,-5858.827336,-35873.250469,-28256.538899,-200000.000000
44.699158,-5858.112080,-35874.824032,-28255.728275,-200000.000000
44.703192,-5856.681568,-35877.398953,-28254.440815,-200000.000000
44.707226,-5859.113438,-35878.543362,-28254.536182,-200000.000000
44.711260,-5862.022145,-35878.495679,-28255.442173,-200000.000000
44.715294,-5860.305531,-35875.777707,-28254.393131,-200000.000000
44.719329,-5860.353215,-35871.390804,-28252.914936,-200000.000000
44.723363,-5859.685643,-35866.384013,-28252.485782,-200000.000000
44.727397,-5857.444508,-35865.430339,-28254.297764,-200000.000000
44.731431,-5855.537159,-35867.719158,-28256.872685,-200000.000000
44.735466,-5856.538517,-35870.532497,-28257.349522,-200000.000000
44.739500,-5855.966312,-35871.629223,-28256.825001,-200000.000000
44.743534,-5854.869587,-35870.198711,-28253.916294,-200000.000000
44.747568,-5851.770145,-35866.813167,-28249.290973,-200000.000000
44.751602,-5851.531726,-35866.336330,-28246.573001,-200000.000000
44.755637,-5851.150257,-35865.096553,-28246.143847,-200000.000000
44.759671,-5849.195224,-35862.950786,-28244.379550,-200000.000000
44.763705,-5850.482684,-35863.761409,-28245.285540,-200000.000000
44.767739,-5852.056247,-35864.047511,-28247.526675,-200000.000000
44.771774,-5852.533084,-35860.900385,-28247.669726,-200000.000000
44.775808,-5852.103931,-35858.659251,-28247.478991,-200000.000000
44.779842,-5853.439075,-35860.471232,-28248.766452,-200000.000000
44.783876,-5854.154331,-35863.236888,-28250.959903,-200000.000000
44.787910,-5854.297382,-35864.667399,-28250.769168,-200000.000000
44.791945,-5852.533084,-35866.050227,-28249.910861,-200000.000000
44.795979,-5852.390033,-35868.529781,-28250.196964,-200000.000000
44.800013,-5853.772861,-35868.863567,-28250.530750,-200000.000000
44.804047,-5855.155689,-35869.912609,-28250.721485,-200000.000000
44.808082,-5857.682926,-35871.390804,-28253.487140,-200000.000000
44.812116,-5858.588917,-35870.389446,-28256.586582,-200000.000000
44.816150,-5859.065754,-35868.863567,-28257.778675,-200000.000000
44.820184,-5857.825978,-35871.915325,-28260.115178,-200000.000000
44.824218,-5856.157047,-35871.486172,-28259.876759,-200000.000000
44.828253,-5854.535801,-35869.769558,-28258.350880,-200000.000000
44.832287,-5856.204731,-35872.773632,-28257.540257,-200000.000000
44.836321,-5857.778294,-35873.918041,-28257.730992,-200000.000000
44.840355,-5858.541233,-35869.960293,-28257.015736,-200000.000000
44.844390,-5858.255131,-35867.099269,-28256.968052,-200000.000000
44.848424,-5857.444508,-35867.957576,-28257.397206,-200000.000000
44.852458,-5857.158405,-35868.529781,-28257.778675,-200000.000000
44.856492,-5856.109364,-35868.911251,-28257.254154,-200000.000000
44.860526,-5854.583484,-35869.817241,-28257.063419,-200000.000000
44.864561,-5854.774219,-35870.151027,-28256.395847,-200000.000000
44.868595,-5854.821903,-35868.625148,-28256.109745,-200000.000000
44.872629,-5852.533084,-35865.478023,-28256.729633,-200000.000000
44.876663,-5851.674777,-35862.998469,-28257.111103,-200000.000000
44.880698,-5851.102573,-35863.856776,-28256.491215,-200000.000000
44.884732,-5850.530368,-35865.334972,-28258.160145,-200000.000000
44.888766,-5851.293308,-35865.525706,-28258.875401,-200000.000000
44.892800,-5851.197940,-35864.190562,-28256.252796,-200000.000000
44.896834,-5850.339633,-35862.760051,-28255.251438,-200000.000000
44.900869,-5851.865512,-35860.614283,-28256.062061,-200000.000000
44.904903,-5853.820545,-35860.328181,-28255.537540,-200000.000000
44.908937,-5853.152973,-35860.566599,-28254.488499,-200000.000000
44.912971,-5853.439075,-35860.375865,-28256.729633,-200000.000000
44.917005,-5851.197940,-35862.664683,-28258.970768,-200000.000000
44.921040,-5849.385959,-35864.762767,-28258.970768,-200000.000000
44.925074,-5847.526294,-35863.809092,-28258.732350,-200000.000000
44.929108,-5846.286517,-35862.760051,-28258.875401,-200000.000000
44.933142,-5845.618945,-35865.287288,-28257.349522,-200000.000000
44.937177,-5847.955447,-35866.002544,-28256.300480,-200000.000000
44.941211,-5848.098498,-35863.427623,-28256.157429,-200000.000000
44.945245,-5847.860080,-35865.048869,-28256.920368,-200000.000000
44.949279,-5851.007205,-35866.479381,-28259.066136,-200000.000000
44.953313,-5853.820545,-35864.810451,-28259.829075,-200000.000000
44.957348,-5854.392750,-35862.473948,-28257.969410,-200000.000000
44.961382,-5854.345066,-35862.569316,-28257.349522,-200000.000000
44.965416,-5852.533084,-35860.661967,-28255.823643,-200000.000000
