Time,1,2,3
122.209520,-5731.130330,-36874.799356,-29529.074374
122.213548,-5730.033604,-36877.040491,-29528.835956
122.217576,-5732.799260,-36878.852472,-29530.647937
122.221604,-5733.705250,-36879.996881,-29531.553928
122.225632,-5733.657567,-36881.141291,-29533.556644
122.229660,-5735.040395,-36881.475077,-29535.654728
122.233688,-5736.184804,-36880.235300,-29536.083881
122.237716,-5735.135762,-36879.663095,-29535.463993
122.241744,-5733.419148,-36879.758463,-29535.559360
122.245772,-5732.322423,-36879.186258,-29534.987156
122.249800,-5732.799260,-36878.709421,-29533.699695
122.253828,-5733.419148,-36877.326593,-29533.175174
122.257856,-5732.131688,-36874.465570,-29531.601612
122.261884,-5733.323781,-36874.227151,-29530.171100
122.265912,-5733.752934,-36873.416528,-29529.455844
122.269940,-5731.464116,-36873.273477,-29529.551212
122.273968,-5730.796543,-36874.274835,-29530.218784
122.277996,-5731.940953,-36877.088174,-29530.934039
122.282024,-5732.131688,-36878.518686,-29532.173816
122.286052,-5732.560841,-36879.996881,-29533.270542
122.290080,-5735.803334,-36880.855188,-29532.841388
122.294108,-5735.183446,-36878.137216,-29531.124774
122.298136,-5735.231130,-36876.563654,-29530.457202
122.302164,-5733.133046,-36873.559579,-29528.883639
122.306192,-5731.940953,-36871.413812,-29526.737872
122.310220,-5729.270664,-36871.127709,-29526.690188
122.314248,-5729.270664,-36873.654947,-29527.167025
122.318276,-5729.222981,-36873.750314,-29527.023974
122.322304,-5730.558125,-36874.322519,-29527.357760
122.326332,-5731.940953,-36875.228509,-29528.549853
122.330360,-5733.609883,-36874.703988,-29528.406802
122.334388,-5733.943669,-36872.701272,-29527.739230
122.338416,-5733.514516,-36871.127709,-29528.216067
122.342444,-5733.180730,-36870.555505,-29528.454486
122.346472,-5732.703892,-36869.983300,-29528.216067
122.350500,-5732.513157,-36869.649514,-29528.692905
122.354528,-5734.945027,-36873.607263,-29531.267826
122.358556,-5735.421864,-36874.942407,-29531.077091
122.362584,-5734.992711,-36876.468286,-29530.934039
122.366612,-5735.660283,-36877.755747,-29532.316867
122.370640,-5735.707967,-36878.184900,-29533.747379
122.374668,-5734.754292,-36876.563654,-29533.842746
